,Symbol,Weight,Ticker
305,BK971935     Corp,0.1018349631654901,
306,BK084955     Corp,0.1016346390773567,
307,BI002114     Corp,0.1015604625516818,
308,AR060574     Corp,0.101618494137608,
309,AQ219162     Corp,0.1011020044659449,
310,ZQ965885     Corp,0.1012948375932113,
311,AV566240     Corp,0.1009046609981421,
312,AM294227     Corp,0.1008424434311769,
313,BK880741     Corp,0.1005022431865198,
314,ZO478950     Corp,0.1001156936810693,
315,ZQ606668     Corp,0.09964742133022288,
316,ZS293068     Corp,0.09958004494476644,
317,BK892581     Corp,0.09991874567956477,
318,ZP405279     Corp,0.09963763510610044,
319,BK623735     Corp,0.09942974123701896,
320,ZS571082     Corp,0.09955537249179104,
321,BK100088     Corp,0.09969119668551736,
322,ZP519351     Corp,0.1002868569906779,
323,BJ477321     Corp,0.0996309779026038,
324,AV726451     Corp,0.09954106773177204,
325,AX312079     Corp,0.09947011551787084,
326,ZS003151     Corp,0.09894528473725,
327,JK574834     Corp,0.09923429909275994,
328,BM349476     Corp,0.09926734728410684,
329,AM383880     Corp,0.09897752849776016,
330,QZ562864     Corp,0.09924008614184568,
331,ZS193512     Corp,0.0989381624872409,
332,AQ222901     Corp,0.09898322941521816,
333,LW368560     Corp,0.0991398677345916,
334,AP841309     Corp,0.09878938858004586,
335,AN628761     Corp,0.09890643133847048,
336,BJ808779     Corp,0.09853861473893448,
337,ZR465157     Corp,0.0985888617772699,
338,AW767347     Corp,0.09854858825113927,
339,AQ230636     Corp,0.09825894727196816,
340,ZR580911     Corp,0.09844702355512168,
341,AS104578     Corp,0.09814598548148794,
342,BH786066     Corp,0.09846980778106013,
343,BK841777     Corp,0.09772045394224303,
344,LW006598     Corp,0.09752963060652182,
345,AM806385     Corp,0.09748931521977734,
346,AU059055     Corp,0.09708593172155623,
347,QZ532088     Corp,0.09691018937501042,
348,BK131082     Corp,0.0968919048035016,
349,BK912976     Corp,0.09618783233791782,
350,BM709861     Corp,0.0961492610362885,
351,AO120063     Corp,0.09601015154766772,
352,BM350346     Corp,0.09593192611236886,
353,ZO479962     Corp,0.0951638502144375,
354,ZS232180     Corp,0.09540965919391343,
355,AN467471     Corp,0.09509375915612042,
356,AS319422     Corp,0.09534002153184204,
357,AQ110101     Corp,0.09466146523959088,
358,BK766503     Corp,0.09438412943292043,
359,ZQ446615     Corp,0.0948164898764908,
360,AZ699099     Corp,0.0944326334306474,
361,JK872872     Corp,0.09443401442917132,
362,LW233987     Corp,0.09436425737195177,
363,AM750618     Corp,0.09418189180854973,
364,AP954927     Corp,0.09394811152869098,
365,AN720160     Corp,0.0936662936635111,
366,BH722385     Corp,0.09359437536127782,
367,AZ910363     Corp,0.09293665625416743,
368,ZQ224342     Corp,0.09338677732862667,
369,ZO245744     Corp,0.09310866111477313,
370,ZR938177     Corp,0.09260630273467353,
371,AT227276     Corp,0.09228509298734737,
372,BM121974     Corp,0.09223756841549936,
373,ZS535537     Corp,0.091640269841785,
374,LW006234     Corp,0.0916898773206458,
375,BM451224     Corp,0.0919331479881966,
376,AV183514     Corp,0.09173063373024913,
377,AL018402     Corp,0.09171895301204963,
