,,Weights
"1,28",BGH,0.0078
"1,28",EAD,0.10947
"1,28",RA,0.00038
"1,28",KIO,0.00638
"1,28",ISD,0.30638
"1,28",VLT,0.00013
"1,28",FSD,0.06013
"1,28",GHY,0.00013
"1,28",JLS,0.00013
"1,28",IVH,0.00013
"1,28",AIF,0.00346
"1,28",HYB,0.04846
"1,28",EIC,0.00846
"1,27",HIX,0.00704
"1,27",EHI,0.00819
"1,27",PHT,0.00939
"1,27",HYI,0.00064
"1,27",OPP,0.00238
"1,27",MCR,0.0042
"1,27",CIK,0.0061
"1,27",NHS,0.1981
"1,27",HIO,0.06758
"1,27",MPV,0.00535
"1,27",DHY,0.03771
"1,27",MCI,0.00708
"1,27",AWF,0.00975
"1,27",DHF,0.07189
"1,27",BGH,0.00805
"1,27",EAD,0.10971
"1,27",RA,0.00062
"1,27",KIO,0.00662
"1,27",ISD,0.30662
"1,27",VLT,0.00037
"1,27",FSD,0.06037
"1,27",GHY,0.00037
"1,27",JLS,0.00037
"1,27",IVH,0.00037
"1,27",AIF,0.00037
"1,27",HYB,0.06537
"1,27",EIC,0.00537
"1,26",EHI,0.00846
"1,26",PHT,0.00966
"1,26",HYI,0.00091
"1,26",OPP,0.00222
"1,26",MCR,0.00449
"1,26",CIK,0.00639
"1,26",NHS,0.20839
"1,26",HIO,0.07787
"1,26",MPV,0.00509
"1,26",DHY,0.03744
"1,26",MCI,0.00682
"1,26",AWF,0.00948
"1,26",DHF,0.07234
"1,26",BGH,0.00696
"1,26",EAD,0.10946
"1,26",RA,0.00946
"1,26",KIO,0.00646
"1,26",ISD,0.30646
"1,26",VLT,0.00021
"1,26",FSD,0.04021
"1,26",GHY,0.00021
"1,26",JLS,0.00021
"1,26",IVH,0.00021
"1,26",AIF,0.00687
"1,26",HYB,0.06187
"1,26",EIC,0.00187
"1,25",PHT,0.01
"1,25",HYI,0.00125
"1,25",OPP,0.00255
"1,25",MCR,0.00437
"1,25",CIK,0.00675
"1,25",NHS,0.19875
"1,25",HIO,0.08823
"1,25",MPV,0.00545
"1,25",DHY,0.0278
"1,25",MCI,0.00655
"1,25",AWF,0.00989
"1,25",DHF,0.07203
"1,25",BGH,0.00818
