,,Weights
"1,29",ADX,0.47988
"1,29",AOD,0.0
"1,29",BGR,0.00309
"1,29",CPZ,0.00142
"1,29",GLQ,0.00024
"1,29",BCX,0.00149
"1,29",JEQ,0.00149
"1,29",IGR,0.00149
"1,29",ASA,0.00149
"1,29",PEO,0.03649
"1,29",BIF,0.02013
"1,29",CEM,0.0
"1,29",MIE,0.00602
"1,29",CET,0.23727
"1,29",DSE,0.0
"1,29",CTR,0.00037
"1,29",GRF,0.07237
"1,29",EMO,0.0
"1,29",SRV,0.0
"1,29",SZC,0.05737
"1,29",CEN,0.05029
"1,28",IAF,0.00407
"1,28",AWP,0.00519
"1,28",BOE,0.00634
"1,28",DPG,0.00394
"1,28",NFJ,0.00519
"1,28",AGD,0.00084
"1,28",AEF,0.00039
"1,28",ADX,0.48086
"1,28",AOD,0.00036
"1,28",BGR,0.00405
"1,28",CPZ,0.00349
"1,28",GLQ,0.00114
"1,28",BCX,0.00176
"1,28",JEQ,0.00243
"1,28",IGR,0.00315
"1,28",ASA,0.00315
"1,28",PEO,0.04065
"1,28",BIF,0.02155
"1,28",CEM,0.0
"1,28",MIE,0.0
"1,28",CET,0.22355
"1,28",DSE,0.00213
"1,28",CTR,0.00046
"1,28",GRF,0.07446
"1,28",EMO,0.00196
"1,28",SRV,0.0
"1,28",SZC,0.05363
"1,28",CEN,0.05527
"1,27",AWP,0.00446
"1,27",BOE,0.01562
"1,27",DPG,0.00322
"1,27",NFJ,0.00447
"1,27",AGD,0.0
"1,27",AEF,0.00014
"1,27",ADX,0.48014
"1,27",AOD,0.0
"1,27",BGR,0.00332
"1,27",CPZ,0.00277
"1,27",GLQ,0.00042
"1,27",BCX,0.00104
"1,27",JEQ,0.00237
"1,27",IGR,0.00237
"1,27",ASA,0.00237
"1,27",PEO,0.03987
"1,27",BIF,0.02078
"1,27",CEM,0.0
"1,27",MIE,0.0
"1,27",CET,0.23267
"1,27",DSE,0.00124
"1,27",CTR,0.0
"1,27",GRF,0.07358
"1,27",EMO,0.00108
"1,27",SRV,0.0
"1,27",SZC,0.05274
"1,27",CEN,0.05532
"1,26",BOE,0.00634
"1,26",DPG,0.00394
"1,26",NFJ,0.00519
"1,26",AGD,0.00041
"1,26",AEF,0.00041
"1,26",ADX,0.48041
"1,26",AOD,0.00041
"1,26",BGR,0.0041
"1,26",CPZ,0.00298
"1,26",GLQ,0.00122
"1,26",BCX,0.00185
"1,26",JEQ,0.00185
"1,26",IGR,0.00399
"1,26",ASA,0.00399
"1,26",PEO,0.03899
"1,26",BIF,0.02081
"1,26",CEM,0.0
"1,26",MIE,0.0
"1,26",CET,0.23256
"1,26",DSE,0.00113
"1,26",CTR,0.00279
"1,26",GRF,0.07279
"1,26",EMO,0.00279
"1,26",SRV,0.0
"1,26",SZC,0.05446
"1,26",CEN,0.05658
"1,25",DPG,0.00547
"1,25",NFJ,0.0
"1,25",AGD,0.00064
"1,25",AEF,0.00064
"1,25",ADX,0.47302
"1,25",AOD,0.0
"1,25",BGR,0.00175
"1,25",CPZ,0.00064
"1,25",GLQ,5e-05
"1,25",BCX,5e-05
"1,25",JEQ,5e-05
"1,25",IGR,0.00291
"1,25",ASA,0.0006
"1,25",PEO,0.03894
"1,25",BIF,0.03075
"1,25",CEM,0.0
"1,25",MIE,0.0
"1,25",CET,0.24253
"1,25",DSE,0.0011
"1,25",CTR,0.0
"1,25",GRF,0.0721
"1,25",EMO,0.0
"1,25",SRV,0.0
"1,25",SZC,0.0521
"1,25",CEN,0.07663
"1,24",NFJ,0.0
"1,24",AGD,0.00279
"1,24",AEF,0.00279
"1,24",ADX,0.48517
"1,24",AOD,0.0
"1,24",BGR,0.00338
"1,24",CPZ,0.00338
"1,24",GLQ,0.00162
"1,24",BCX,0.00224
"1,24",JEQ,0.00224
"1,24",IGR,0.00438
"1,24",ASA,0.00592
"1,24",PEO,0.04176
"1,24",BIF,0.02266
"1,24",CEM,0.00266
"1,24",MIE,0.00044
"1,24",CET,0.23419
"1,24",DSE,0.00276
"1,24",CTR,0.0
"1,24",GRF,0.06576
"1,24",EMO,0.00326
"1,24",SRV,0.00326
"1,24",SZC,0.05326
"1,24",CEN,0.05605
"1,23",AGD,0.00093
"1,23",AEF,0.0
"1,23",ADX,0.49103
"1,23",AOD,0.00053
"1,23",BGR,0.0
"1,23",CPZ,0.0
"1,23",GLQ,0.00072
"1,23",BCX,0.00259
"1,23",JEQ,0.00659
"1,23",IGR,0.00088
"1,23",ASA,0.00626
"1,23",PEO,0.03876
"1,23",BIF,0.02604
"1,23",CEM,0.00504
"1,23",MIE,0.0
"1,23",CET,0.22587
"1,23",DSE,0.00587
"1,23",CTR,0.00587
"1,23",GRF,0.06387
"1,23",EMO,0.0
"1,23",SRV,0.0022
"1,23",SZC,0.0572
"1,23",CEN,0.05975
"1,22",AEF,0.0
"1,22",ADX,0.481
"1,22",AOD,0.0
"1,22",BGR,0.0
"1,22",CPZ,0.0
"1,22",GLQ,0.0
"1,22",BCX,0.0
"1,22",JEQ,0.00258
"1,22",IGR,0.0
"1,22",ASA,0.00291
"1,22",PEO,0.04457
"1,22",BIF,0.03185
"1,22",CEM,0.00085
"1,22",MIE,0.0
"1,22",CET,0.24029
"1,22",DSE,0.00172
"1,22",CTR,5e-05
"1,22",GRF,0.07205
"1,22",EMO,0.0
"1,22",SRV,0.0
"1,22",SZC,0.05289
"1,22",CEN,0.06925
"1,21",ADX,0.48485
"1,21",AOD,0.0
"1,21",BGR,0.0
"1,21",CPZ,0.0
"1,21",GLQ,0.00056
"1,21",BCX,0.00243
"1,21",JEQ,0.00576
"1,21",IGR,0.00148
"1,21",ASA,0.00686
"1,21",PEO,0.03853
"1,21",BIF,0.02671
