,,Weights
"1,42",RQI,0.008
"1,42",RNP,0.0
"1,42",BSTZ,0.0
"1,42",AIO,0.001
"1,42",CII,0.031
"1,42",BDJ,0.039
"1,42",CHN,0.008
"1,42",BGY,0.0
"1,42",IAF,0.0
"1,42",AWP,0.001
"1,42",BOE,0.012
"1,42",DPG,0.001
"1,42",NFJ,0.073
"1,42",AGD,0.004
"1,42",AEF,0.004
"1,42",ADX,0.476
"1,42",AOD,0.004
"1,42",BGR,0.003
"1,42",CPZ,0.001
"1,42",GLQ,0.0
"1,42",BCX,0.0
"1,42",JEQ,0.0
"1,42",IGR,0.001
"1,42",ASA,0.002
"1,42",PEO,0.033
"1,42",BIF,0.0
"1,42",CEM,0.0
"1,42",MIE,0.002
"1,42",CET,0.033
"1,42",DSE,0.001
"1,42",CTR,0.003
"1,42",GRF,0.075
"1,42",EMO,0.0
"1,42",SRV,0.0
"1,42",SZC,0.055
"1,42",CEN,0.007
"1,41",RFI,0.004
"1,41",STK,0.005
"1,41",BMEZ,0.005
"1,41",EOI,0.106
"1,41",EXD,0.0
"1,41",RQI,0.001
"1,41",RNP,0.002
"1,41",BSTZ,0.003
"1,41",AIO,0.004
"1,41",CII,0.024
"1,41",BDJ,0.042
"1,41",CHN,0.001
"1,41",BGY,0.002
"1,41",IAF,0.003
"1,41",AWP,0.004
"1,41",BOE,0.015
"1,41",DPG,0.005
"1,41",NFJ,0.006
"1,41",AGD,0.006
"1,41",AEF,0.006
"1,41",ADX,0.457
"1,41",AOD,0.0
"1,41",BGR,0.003
"1,41",CPZ,0.003
"1,41",GLQ,0.002
"1,41",BCX,0.002
"1,41",JEQ,0.003
"1,41",IGR,0.003
"1,41",ASA,0.005
"1,41",PEO,0.037
"1,41",BIF,0.0
"1,41",CEM,0.0
"1,41",MIE,0.005
"1,41",CET,0.157
"1,41",DSE,0.004
"1,41",CTR,0.008
"1,41",GRF,0.04
"1,41",EMO,0.002
"1,41",SRV,0.002
"1,41",SZC,0.022
"1,41",CEN,0.002
"1,40",STK,0.005
"1,40",BMEZ,0.005
"1,40",EOI,0.106
"1,40",EXD,0.0
"1,40",RQI,0.001
"1,40",RNP,0.002
"1,40",BSTZ,0.003
"1,40",AIO,0.004
"1,40",CII,0.024
"1,40",BDJ,0.042
"1,40",CHN,0.001
"1,40",BGY,0.002
"1,40",IAF,0.003
"1,40",AWP,0.004
"1,40",BOE,0.015
"1,40",DPG,0.005
"1,40",NFJ,0.006
"1,40",AGD,0.005
"1,40",AEF,0.005
"1,40",ADX,0.457
"1,40",AOD,0.0
"1,40",BGR,0.003
"1,40",CPZ,0.003
"1,40",GLQ,0.003
"1,40",BCX,0.003
"1,40",JEQ,0.002
"1,40",IGR,0.004
"1,40",ASA,0.005
"1,40",PEO,0.036
"1,40",BIF,0.0
"1,40",CEM,0.0
"1,40",MIE,0.005
"1,40",CET,0.157
"1,40",DSE,0.005
"1,40",CTR,0.001
"1,40",GRF,0.049
"1,40",EMO,0.002
"1,40",SRV,0.002
"1,40",SZC,0.022
"1,40",CEN,0.002
"1,39",BMEZ,0.006
"1,39",EOI,0.096
"1,39",EXD,0.001
"1,39",RQI,0.002
"1,39",RNP,0.002
"1,39",BSTZ,0.003
"1,39",AIO,0.004
"1,39",CII,0.035
"1,39",BDJ,0.032
"1,39",CHN,0.001
"1,39",BGY,0.002
"1,39",IAF,0.004
"1,39",AWP,0.005
"1,39",BOE,0.016
"1,39",DPG,0.005
"1,39",NFJ,0.007
"1,39",AGD,0.005
"1,39",AEF,0.005
"1,39",ADX,0.467
"1,39",AOD,0.0
"1,39",BGR,0.003
"1,39",CPZ,0.004
"1,39",GLQ,0.003
"1,39",BCX,0.003
"1,39",JEQ,0.004
"1,39",IGR,0.005
"1,39",ASA,0.005
"1,39",PEO,0.035
"1,39",BIF,0.001
"1,39",CEM,0.001
"1,39",MIE,0.003
"1,39",CET,0.147
"1,39",DSE,0.004
"1,39",CTR,0.009
"1,39",GRF,0.049
"1,39",EMO,0.001
"1,39",SRV,0.001
"1,39",SZC,0.021
"1,39",CEN,0.001
"1,38",EOI,0.096
"1,38",EXD,0.001
"1,38",RQI,0.002
"1,38",RNP,0.003
"1,38",BSTZ,0.003
"1,38",AIO,0.004
"1,38",CII,0.035
"1,38",BDJ,0.032
"1,38",CHN,0.001
"1,38",BGY,0.002
"1,38",IAF,0.004
"1,38",AWP,0.005
"1,38",BOE,0.016
"1,38",DPG,0.005
"1,38",NFJ,0.007
"1,38",AGD,0.005
"1,38",AEF,0.005
"1,38",ADX,0.457
"1,38",AOD,0.0
"1,38",BGR,0.003
"1,38",CPZ,0.004
"1,38",GLQ,0.003
"1,38",BCX,0.003
"1,38",JEQ,0.004
"1,38",IGR,0.005
"1,38",ASA,0.004
"1,38",PEO,0.036
"1,38",BIF,0.0
"1,38",CEM,0.0
"1,38",MIE,0.004
"1,38",CET,0.167
"1,38",DSE,0.005
"1,38",CTR,0.001
"1,38",GRF,0.047
"1,38",EMO,0.002
"1,38",SRV,0.006
"1,38",SZC,0.021
"1,38",CEN,0.001
"1,37",EXD,0.007
"1,37",RQI,0.008
"1,37",RNP,0.008
"1,37",BSTZ,0.009
"1,37",AIO,0.009
"1,37",CII,0.02
"1,37",BDJ,0.035
"1,37",CHN,0.004
"1,37",BGY,0.005
"1,37",IAF,0.007
"1,37",AWP,0.008
"1,37",BOE,0.008
"1,37",DPG,0.007
"1,37",NFJ,0.009
"1,37",AGD,0.008
"1,37",AEF,0.008
"1,37",ADX,0.478
"1,37",AOD,0.0
"1,37",BGR,0.005
"1,37",CPZ,0.011
"1,37",GLQ,0.001
"1,37",BCX,0.001
"1,37",JEQ,0.002
"1,37",IGR,0.003
"1,37",ASA,0.006
"1,37",PEO,0.032
"1,37",BIF,0.021
"1,37",CEM,0.001
"1,37",MIE,0.002
"1,37",CET,0.191
"1,37",DSE,0.008
"1,37",CTR,0.001
"1,37",GRF,0.055
"1,37",EMO,0.0
"1,37",SRV,0.0
"1,37",SZC,0.02
"1,37",CEN,0.0
"1,36",RQI,0.008
"1,36",RNP,0.008
"1,36",BSTZ,0.009
"1,36",AIO,0.01
"1,36",CII,0.02
"1,36",BDJ,0.036
"1,36",CHN,0.005
"1,36",BGY,0.005
"1,36",IAF,0.007
"1,36",AWP,0.008
"1,36",BOE,0.019
"1,36",DPG,0.007
"1,36",NFJ,0.009
"1,36",AGD,0.008
"1,36",AEF,0.007
"1,36",ADX,0.468
"1,36",AOD,0.009
"1,36",BGR,0.006
"1,36",CPZ,0.012
"1,36",GLQ,0.001
"1,36",BCX,0.001
"1,36",JEQ,0.001
"1,36",IGR,0.002
"1,36",ASA,0.006
"1,36",PEO,0.038
"1,36",BIF,0.01
"1,36",CEM,0.0
"1,36",MIE,0.002
"1,36",CET,0.179
"1,36",DSE,0.007
"1,36",CTR,0.0
"1,36",GRF,0.058
"1,36",EMO,0.001
"1,36",SRV,0.001
"1,36",SZC,0.026
"1,36",CEN,0.006
"1,35",RNP,0.009
"1,35",BSTZ,0.009
"1,35",AIO,0.01
"1,35",CII,0.02
"1,35",BDJ,0.036
"1,35",CHN,0.005
"1,35",BGY,0.006
"1,35",IAF,0.007
"1,35",AWP,0.008
"1,35",BOE,0.02
"1,35",DPG,0.008
"1,35",NFJ,0.009
"1,35",AGD,0.008
"1,35",AEF,0.008
"1,35",ADX,0.479
"1,35",AOD,0.009
"1,35",BGR,0.005
"1,35",CPZ,0.012
"1,35",GLQ,0.001
"1,35",BCX,0.001
"1,35",JEQ,0.001
"1,35",IGR,0.002
"1,35",ASA,0.006
"1,35",PEO,0.039
"1,35",BIF,0.011
"1,35",CEM,0.001
"1,35",MIE,0.002
"1,35",CET,0.158
"1,35",DSE,0.006
"1,35",CTR,0.009
"1,35",GRF,0.059
"1,35",EMO,0.001
"1,35",SRV,0.005
"1,35",SZC,0.025
"1,35",CEN,0.005
"1,34",BSTZ,0.009
"1,34",AIO,0.0
"1,34",CII,0.021
"1,34",BDJ,0.037
"1,34",CHN,0.005
"1,34",BGY,0.006
"1,34",IAF,0.008
"1,34",AWP,0.009
"1,34",BOE,0.019
"1,34",DPG,0.009
"1,34",NFJ,0.01
"1,34",AGD,0.008
"1,34",AEF,0.007
"1,34",ADX,0.49
"1,34",AOD,0.01
"1,34",BGR,0.005
"1,34",CPZ,0.012
"1,34",GLQ,0.001
"1,34",BCX,0.001
"1,34",JEQ,0.0
"1,34",IGR,0.002
"1,34",ASA,0.006
"1,34",PEO,0.03
"1,34",BIF,0.011
"1,34",CEM,0.001
"1,34",MIE,0.002
"1,34",CET,0.2
"1,34",DSE,0.006
"1,34",CTR,0.002
"1,34",GRF,0.05
"1,34",EMO,0.0
"1,34",SRV,0.0
"1,34",SZC,0.02
"1,34",CEN,0.0
"1,33",AIO,0.0
"1,33",CII,0.021
"1,33",BDJ,0.037
"1,33",CHN,0.006
"1,33",BGY,0.007
"1,33",IAF,0.008
"1,33",AWP,0.009
"1,33",BOE,0.02
"1,33",DPG,0.009
"1,33",NFJ,0.0
"1,33",AGD,0.008
"1,33",AEF,0.008
"1,33",ADX,0.48
"1,33",AOD,0.01
"1,33",BGR,0.006
"1,33",CPZ,0.012
"1,33",GLQ,0.001
"1,33",BCX,0.001
"1,33",JEQ,0.001
"1,33",IGR,0.003
"1,33",ASA,0.006
"1,33",PEO,0.039
"1,33",BIF,0.013
"1,33",CEM,0.002
"1,33",MIE,0.003
"1,33",CET,0.2
"1,33",DSE,0.007
"1,33",CTR,0.002
"1,33",GRF,0.056
"1,33",EMO,0.001
"1,33",SRV,0.001
"1,33",SZC,0.021
"1,33",CEN,0.001
"1,32",CII,0.017
"1,32",BDJ,0.033
"1,32",CHN,0.002
"1,32",BGY,0.003
"1,32",IAF,0.004
"1,32",AWP,0.005
"1,32",BOE,0.016
"1,32",DPG,0.005
"1,32",NFJ,0.0
"1,32",AGD,0.004
"1,32",AEF,0.004
"1,32",ADX,0.465
"1,32",AOD,0.0
"1,32",BGR,0.001
"1,32",CPZ,0.0
"1,32",GLQ,0.0
"1,32",BCX,0.0
"1,32",JEQ,0.0
"1,32",IGR,0.0
"1,32",ASA,0.001
"1,32",PEO,0.033
"1,32",BIF,0.017
"1,32",CEM,0.0
"1,32",MIE,0.0
"1,32",CET,0.235
"1,32",DSE,0.005
"1,32",CTR,0.0
"1,32",GRF,0.076
"1,32",EMO,0.0
"1,32",SRV,0.0
"1,32",SZC,0.065
"1,32",CEN,0.009
"1,31",BDJ,0.05
"1,31",CHN,0.008
"1,31",BGY,0.0
"1,31",IAF,0.0
"1,31",AWP,0.001
"1,31",BOE,0.013
"1,31",DPG,0.003
"1,31",NFJ,0.004
"1,31",AGD,0.0
"1,31",AEF,0.0
"1,31",ADX,0.493
"1,31",AOD,0.005
"1,31",BGR,0.003
"1,31",CPZ,0.002
"1,31",GLQ,0.0
"1,31",BCX,0.0
"1,31",JEQ,0.0
"1,31",IGR,0.001
"1,31",ASA,0.004
"1,31",PEO,0.04
