Company,Symbol,Weight,,,
Ball Corporation,BLL,0.099766,,,
Aflac Incorporated,AFL,0.09971,,,
Hilton Worldwide Holdings Inc,HLT,0.099644,,,
Zimmer Biomet Holdings Inc.,ZBH,0.098818,,,
Carrier Global Corp.,CARR,0.098092,,,
Paychex Inc.,PAYX,0.0976,,,
PACCAR Inc,PCAR,0.09755,,,
WEC Energy Group Inc,WEC,0.097279,,,
ResMed Inc.,RMD,0.097188,,,
Eversource Energy,ES,0.096423,,,
Simon Property Group Inc.,SPG,0.095871,,,
Motorola Solutions Inc.,MSI,0.095595,,,
Public Service Enterprise Group Inc,PEG,0.095225,,,
McKesson Corporation,MCK,0.095055,,,
ANSYS Inc.,ANSS,0.094861,,,
Stanley Black & Decker Inc.,SWK,0.094099,,,
Corteva Inc,CTVA,0.09388,,,
Phillips 66,PSX,0.093703,,,
Rockwell Automation Inc.,ROK,0.092994,,,
Corning Inc,GLW,0.092969,,,
Southwest Airlines Co.,LUV,0.092846,,,
Kinder Morgan Inc Class P,KMI,0.09223,,,
EOG Resources Inc.,EOG,0.092034,,,
Archer-Daniels-Midland Company,ADM,0.090998,,,
V.F. Corporation,VFC,0.090765,,,
American Water Works Company Inc.,AWK,0.090216,,,
Delta Air Lines Inc.,DAL,0.090181,,,
Willis Towers Watson Public Limited Company,WLTW,0.089832,,,
Mettler-Toledo International Inc.,MTD,0.089345,,,
AutoZone Inc.,AZO,0.088918,,,
Fastenal Company,FAST,0.088727,,,
Marathon Petroleum Corporation,MPC,0.087395,,,
Alexion Pharmaceuticals Inc.,ALXN,0.087335,,,
Dollar Tree Inc.,DLTR,0.087248,,,
Otis Worldwide Corporation,OTIS,0.087182,,,
Welltower Inc.,WELL,0.087099,,,
State Street Corporation,STT,0.085848,,,
Williams Companies Inc.,WMB,0.085343,,,
AMETEK Inc.,AME,0.085179,,,
Clorox Company,CLX,0.082933,,,
Consolidated Edison Inc.,ED,0.082927,,,
Discover Financial Services,DFS,0.081542,,,
DTE Energy Company,DTE,0.079959,,,
Best Buy Co. Inc.,BBY,0.079871,,,
Skyworks Solutions Inc.,SWKS,0.079137,,,
Kroger Co.,KR,0.079071,,,
D.R. Horton Inc.,DHI,0.078813,,,
AvalonBay Communities Inc.,AVB,0.078416,,,
Valero Energy Corporation,VLO,0.078042,,,
Copart Inc.,CPRT,0.077516,,,
Ameriprise Financial Inc.,AMP,0.077085,,,
Edison International,EIX,0.076792,,,
Fortive Corp.,FTV,0.07636,,,
Keysight Technologies Inc,KEYS,0.075358,,,
McCormick & Company Incorporated,MKC,0.074239,,,
Cerner Corporation,CERN,0.074235,,,
Maxim Integrated Products Inc.,MXIM,0.073793,,,
Hershey Company,HSY,0.072974,,,
FLEETCOR Technologies Inc.,FLT,0.072489,,,
Arthur J. Gallagher & Co.,AJG,0.072473,,,
LyondellBasell Industries NV,LYB,0.072184,,,
PPL Corporation,PPL,0.071919,,,
First Republic Bank,FRC,0.071824,,,
Weyerhaeuser Company,WY,0.071798,,,
Kraft Heinz Company,KHC,0.071342,,,
CBRE Group Inc. Class A,CBRE,0.070095,,,
Equity Residential,EQR,0.069831,,,
Entergy Corporation,ETR,0.069728,,,
Church & Dwight Co. Inc.,CHD,0.069614,,,
Paycom Software Inc.,PAYC,0.069021,,,
Realty Income Corporation,O,0.068946,,,
MarketAxess Holdings Inc.,MKTX,0.068786,,,
Viatris Inc.,VTRS,0.068695,,,
Lennar Corporation Class A,LEN,0.068178,,,
ViacomCBS Inc. Class B,VIAC,0.067895,,,
Tyson Foods Inc. Class A,TSN,0.066996,,,
VeriSign Inc.,VRSN,0.066807,,,
Take-Two Interactive Software Inc.,TTWO,0.066433,,,
West Pharmaceutical Services Inc.,WST,0.066142,,,
Republic Services Inc.,RSG,0.065546,,,
Zebra Technologies Corporation Class A,ZBRA,0.065348,,,
Equifax Inc.,EFX,0.065291,,,
Old Dominion Freight Line Inc.,ODFL,0.064934,,,
Alexandria Real Estate Equities Inc.,ARE,0.064732,,,
Northern Trust Corporation,NTRS,0.063697,,,
Las Vegas Sands Corp.,LVS,0.063419,,,
Vulcan Materials Company,VMC,0.062742,,,
Fifth Third Bancorp,FITB,0.06274,,,
Laboratory Corporation of America Holdings,LH,0.062709,,,
International Paper Company,IP,0.062318,,,
Ameren Corporation,AEE,0.062278,,,
Teradyne Inc.,TER,0.062164,,,
Hologic Inc.,HOLX,0.061778,,,
CDW Corp.,CDW,0.061618,,,
Etsy Inc.,ETSY,0.060782,,,
SVB Financial Group,SIVB,0.060604,,,
Qorvo Inc.,QRVO,0.059842,,,
W.W. Grainger Inc.,GWW,0.059652,,,
Amcor PLC,AMCR,0.059449,,,
Ventas Inc.,VTR,0.059258,,,
Kansas City Southern,KSU,0.058715,,,
Dover Corporation,DOV,0.057827,,,
Martin Marietta Materials Inc.,MLM,0.057539,,,
Pioneer Natural Resources Company,PXD,0.057446,,,
Synchrony Financial,SYF,0.057354,,,
Teleflex Incorporated,TFX,0.05732,,,
Expedia Group Inc.,EXPE,0.056892,,,
Xylem Inc.,XYL,0.056863,,,
CMS Energy Corporation,CMS,0.056832,,,
Garmin Ltd.,GRMN,0.056652,,,
United Rentals Inc.,URI,0.056351,,,
Conagra Brands Inc.,CAG,0.056308,,,
ONEOK Inc.,OKE,0.05628,,,
Fortinet Inc.,FTNT,0.055855,,,
Broadridge Financial Solutions Inc.,BR,0.055618,,,
Akamai Technologies Inc.,AKAM,0.055357,,,
Tyler Technologies Inc.,TYL,0.054811,,,
Nucor Corporation,NUE,0.054524,,,
Cooper Companies Inc.,COO,0.054459,,,
Ingersoll Rand Inc.,IR,0.054323,,,
Hartford Financial Services Group Inc.,HIG,0.054285,,,
STERIS Plc,STE,0.053829,,,
Ulta Beauty Inc,ULTA,0.053664,,,
Quest Diagnostics Incorporated,DGX,0.053628,,,
Essex Property Trust Inc.,ESS,0.053478,,,
Healthpeak Properties Inc.,PEAK,0.053435,,,
Cardinal Health Inc.,CAH,0.053368,,,
M&T Bank Corporation,MTB,0.052711,,,
Halliburton Company,HAL,0.052121,,,
Varian Medical Systems Inc.,VAR,0.052104,,,
CarMax Inc.,KMX,0.052057,,,
Citrix Systems Inc.,CTXS,0.051997,,,
KeyCorp,KEY,0.051752,,,
Tractor Supply Company,TSCO,0.051571,,,
Kellogg Company,K,0.051526,,,
Regions Financial Corporation,RF,0.050949,,,
Incyte Corporation,INCY,0.050727,,,
FMC Corporation,FMC,0.050507,,,
Catalent Inc,CTLT,0.050503,,,
Celanese Corporation,CE,0.050497,,,
PerkinElmer Inc.,PKI,0.050071,,,
FirstEnergy Corp.,FE,0.049549,,,
Royal Caribbean Group,RCL,0.049502,,,
Hewlett Packard Enterprise Co.,HPE,0.049453,,,
AmerisourceBergen Corporation,ABC,0.049111,,,
Expeditors International of Washington Inc.,EXPD,0.048936,,,
Domino's Pizza Inc.,DPZ,0.048646,,,
Citizens Financial Group Inc.,CFG,0.048592,,,
Extra Space Storage Inc.,EXR,0.04837,,,
Darden Restaurants Inc.,DRI,0.048363,,,
Arista Networks Inc.,ANET,0.048244,,,
Boston Properties Inc.,BXP,0.048151,,,
United Airlines Holdings Inc.,UAL,0.047806,,,
Waters Corporation,WAT,0.047524,,,
Nasdaq Inc.,NDAQ,0.047172,,,
Brown-Forman Corporation Class B,BF.B,0.047038,,,
IDEX Corporation,IEX,0.046704,,,
Western Digital Corporation,WDC,0.046663,,,
Omnicom Group Inc,OMC,0.046522,,,
Genuine Parts Company,GPC,0.046492,,,
Teledyne Technologies Incorporated,TDY,0.046442,,,
Tiffany & Co.,TIF,0.04632,,,
Jacobs Engineering Group Inc.,J,0.046288,,,
Albemarle Corporation,ALB,0.046205,,,
Mid-America Apartment Communities Inc.,MAA,0.046101,,,
Hess Corporation,HES,0.045892,,,
AES Corporation,AES,0.045867,,,
NVR Inc.,NVR,0.045849,,,
Seagate Technology PLC,STX,0.0458,,,
Duke Realty Corporation,DRE,0.045781,,,
Occidental Petroleum Corporation,OXY,0.045165,,,
Leidos Holdings Inc.,LDOS,0.04507,,,
Masco Corporation,MAS,0.044799,,,
Gartner Inc.,IT,0.044583,,,
Eastman Chemical Company,EMN,0.044146,,,
Baker Hughes Company Class A,BKR,0.043638,,,
Principal Financial Group Inc.,PFG,0.043635,,,
Pool Corporation,POOL,0.043584,,,
Huntington Bancshares Incorporated,HBAN,0.043447,,,
J.M. Smucker Company,SJM,0.043375,,,
Hormel Foods Corporation,HRL,0.043232,,,
Westinghouse Air Brake Technologies Corporation,WAB,0.043038,,,
NetApp Inc.,NTAP,0.042735,,,
Alliant Energy Corp,LNT,0.04222,,,
Evergy Inc.,EVRG,0.041677,,,
C.H. Robinson Worldwide Inc.,CHRW,0.041099,,,
Avery Dennison Corporation,AVY,0.041093,,,
CenterPoint Energy Inc.,CNP,0.040981,,,
Packaging Corporation of America,PKG,0.040721,,,
MGM Resorts International,MGM,0.040311,,,
Cincinnati Financial Corporation,CINF,0.040215,,,
Jack Henry & Associates Inc.,JKHY,0.039584,,,
International Flavors & Fragrances Inc.,IFF,0.039558,,,
Concho Resources Inc.,CXO,0.039401,,,
ABIOMED Inc.,ABMD,0.039381,,,
Bio-Rad Laboratories Inc. Class A,BIO,0.039039,,,
Carnival Corporation,CCL,0.039005,,,
Hasbro Inc.,HAS,0.038849,,,
UDR Inc.,UDR,0.038527,,,
Whirlpool Corporation,WHR,0.038491,,,
Raymond James Financial Inc.,RJF,0.038342,,,
PulteGroup Inc.,PHM,0.03811,,,
Atmos Energy Corporation,ATO,0.037954,,,
DENTSPLY SIRONA Inc.,XRAY,0.037489,,,
Fortune Brands Home & Security Inc.,FBHS,0.037173,,,
NortonLifeLock Inc.,NLOK,0.037158,,,
J.B. Hunt Transport Services Inc.,JBHT,0.036864,,,
Lamb Weston Holdings Inc.,LW,0.036291,,,
WestRock Company,WRK,0.036086,,,
Textron Inc.,TXT,0.035817,,,
Host Hotels & Resorts Inc.,HST,0.035064,,,
Allegion PLC,ALLE,0.034961,,,
Wynn Resorts Limited,WYNN,0.034337,,,
Fox Corporation Class A,FOXA,0.034284,,,
Advance Auto Parts Inc.,AAP,0.034215,,,
Universal Health Services Inc. Class B,UHS,0.033865,,,
Loews Corporation,L,0.033427,,,
Cboe Global Markets Inc,CBOE,0.033355,,,
LKQ Corporation,LKQ,0.033341,,,
Lumen Technologies Inc.,LUMN,0.033127,,,
Campbell Soup Company,CPB,0.032481,,,
Live Nation Entertainment Inc.,LYV,0.03214,,,
Snap-on Incorporated,SNA,0.031962,,,
F5 Networks Inc.,FFIV,0.03192,,,
Howmet Aerospace Inc.,HWM,0.031902,,,
Quanta Services Inc.,PWR,0.031514,,,
Henry Schein Inc.,HSIC,0.031228,,,
Lincoln National Corporation,LNC,0.031219,,,
BorgWarner Inc.,BWA,0.031111,,,
W. R. Berkley Corporation,WRB,0.030982,,,
Everest Re Group Ltd.,RE,0.030695,,,
Globe Life Inc.,GL,0.030617,,,
DISH Network Corporation Class A,DISH,0.030181,,,
Interpublic Group of Companies Inc.,IPG,0.030036,,,
Pinnacle West Capital Corporation,PNW,0.030024,,,
NiSource Inc,NI,0.029664,,,
Western Union Company,WU,0.029657,,,
Molson Coors Beverage Company Class B,TAP,0.028706,,,
L Brands Inc.,LB,0.028255,,,
Pentair plc,PNR,0.028142,,,
Newell Brands Inc,NWL,0.027225,,,
CF Industries Holdings Inc.,CF,0.02683,,,
NRG Energy Inc.,NRG,0.026599,,,
Tapestry Inc.,TPR,0.02659,,,
Iron Mountain Inc.,IRM,0.026397,,,
American Airlines Group Inc.,AAL,0.026338,,,
Assurant Inc.,AIZ,0.026322,,,
DaVita Inc.,DVA,0.026106,,,
Mohawk Industries Inc.,MHK,0.026047,,,
Discovery Inc. Class C,DISCK,0.025586,,,
Rollins Inc.,ROL,0.025521,,,
Regency Centers Corporation,REG,0.025112,,,
A. O. Smith Corporation,AOS,0.024478,,,
Robert Half International Inc.,RHI,0.024402,,,
Mosaic Company,MOS,0.024328,,,
Comerica Incorporated,CMA,0.024145,,,
IPG Photonics Corporation,IPGP,0.024087,,,
Juniper Networks Inc.,JNPR,0.023831,,,
Sealed Air Corporation,SEE,0.022988,,,
Zions Bancorporation N.A.,ZION,0.022883,,,
News Corporation Class A,NWSA,0.022843,,,
Diamondback Energy Inc.,FANG,0.022176,,,
Huntington Ingalls Industries Inc.,HII,0.02199,,,
Invesco Ltd.,IVZ,0.02181,,,
Perrigo Co. Plc,PRGO,0.021624,,,
Norwegian Cruise Line Holdings Ltd.,NCLH,0.021509,,,
Alaska Air Group Inc.,ALK,0.021447,,,
Federal Realty Investment Trust,FRT,0.021048,,,
Vornado Realty Trust,VNO,0.02099,,,
Cabot Oil & Gas Corporation,COG,0.020877,,,
Kimco Realty Corporation,KIM,0.020748,,,
PVH Corp.,PVH,0.020577,,,
Apartment Investment & Management Co Class A,AIV,0.020443,,,
Franklin Resources Inc.,BEN,0.020216,,,
DXC Technology Co.,DXC,0.019977,,,
Nielsen Holdings Plc,NLSN,0.019855,,,
Devon Energy Corporation,DVN,0.019522,,,
Leggett & Platt Incorporated,LEG,0.018811,,,
People's United Financial Inc.,PBCT,0.018015,,,
FLIR Systems Inc.,FLIR,0.01786,,,
Apache Corporation,APA,0.016889,,,
National Oilwell Varco Inc.,NOV,0.016854,,,
Hanesbrands Inc.,HBI,0.01649,,,
Marathon Oil Corporation,MRO,0.016366,,,
Unum Group,UNM,0.016065,,,
Ralph Lauren Corporation Class A,RL,0.015823,,,
Fox Corporation Class B,FOX,0.015632,,,
SL Green Realty Corp.,SLG,0.014995,,,
Vontier Corp,VNT,0.014738,,,
Discovery Inc. Class A,DISCA,0.014603,,,
Gap Inc.,GPS,0.014331,,,
Flowserve Corporation,FLS,0.014195,,,
Xerox Holdings Corporation,XRX,0.013867,,,
HollyFrontier Corporation,HFC,0.013112,,,
TechnipFMC Plc,FTI,0.01294,,,
Under Armour Inc. Class A,UAA,0.010147,,,
Under Armour Inc. Class C,UA,0.009528,,,
News Corporation Class B,NWS,0.007532,,,
